513436200003186558	P11	2
513436200003187059	P8	6
513436200003187059	P8	5
513436200003187059	P8	1
513436200003188211	P3	3
513436200003188211	P6	4
513436200003188211	P5	6
513436200003189150	P4	4
513436200003189150	P10	0
513436200003189150	P1	7
513436200003189150	P2	6
513436200003189273	P11	0
513436200003189273	P5	0
513436200003189273	P10	7
513436200003189273	P3	6
51343620000318945X	P2	4
51343620000318945X	P4	0
51343620000318945X	P8	7
51343620000318945X	P7	1
513436200003188393	P4	4
513436200003188393	P10	0
513436200003189492	P7	2
513436200003189492	P10	6
513436200003189492	P11	5
513436200003188297	P4	4
513436200003188297	P4	6
513436200003188297	P2	3
513436200003188676	P6	2
513436200003188676	P9	4
513436200003189353	P7	5
513436200003189353	P5	1
513436200003189353	P10	4
513436200003186996	P10	7
513436200003186996	P7	4
513436200003186996	P9	0
513436200003186996	P2	4
513436200003188916	P8	0
513436200003188916	P3	4
513436200003188916	P10	7
230103199507126541	P11	3
230103199507126541	P11	4
230103199507126541	P7	4
230103199507126541	P6	1
230103199507129080	P4	3
230103199507128803	P6	4
230103199507128803	P3	5
230103199507129347	P7	6
230103199507129347	P9	5
230103199507126568	P4	3
230103199507126568	P2	6
230103199507126568	P3	1
230103199507129726	P7	2
230103199507129726	P3	3
230103199507129726	P9	5
230103199507129726	P1	7
230103199507128483	P9	4
230103199507128483	P5	1
230103199507128483	P9	5
230103199507129785	P10	6
230103199507129785	P6	7
230103199507129785	P9	7
23010319950712882X	P5	0
23010319950712882X	P8	5
23010319950712882X	P8	1
230103199507127560	P3	1
230103199507127560	P2	3
230103199507127560	P10	2
230103199507129427	P8	3
230103199507129427	P2	6
230103199507129427	P6	6
230103199507129427	P2	7
230103199507128360	P3	1
230103199507128360	P7	5
230103199507128360	P7	0
230103199507128205	P6	4
230103199507128205	P11	1
230103199507128205	P6	2
230103199507128205	P9	1
35020519950712754X	P11	3
35020519950712754X	P10	0
35020519950712754X	P4	3
350205199507127507	P9	2
350205199507127507	P4	7
350205199507127507	P6	1
350205199507129844	P5	5
350205199507127769	P7	1
350205199507127769	P4	0
350205199507127769	P1	2
350205199507129043	P2	6
350205199507129043	P9	2
350205199507129043	P5	4
350205199507129043	P7	5
350205199507128729	P6	2
350205199507128729	P3	4
350205199507128729	P9	5
350205199507128729	P6	4
350205199507127582	P11	5
350205199507127582	P4	6
350205199507127582	P5	1
350205199507127582	P11	5
350205199507128921	P11	1
350205199507128366	P3	5
350205199507129908	P10	4
350205199507129908	P6	1
350205199507129908	P8	6
350205199507126387	P8	6
350205199507126387	P8	4
350205199507128104	P10	0
350205199507128104	P2	0
350205199507128104	P7	5
350205199507127101	P5	4
350205199507127101	P10	7
42050519910712845X	P11	7
420505199107129292	P6	2
420505199107127078	P9	1
420505199107127078	P2	1
420505199107127078	P1	1
420505199107127334	P7	5
420505199107127334	P7	5
420505199107127334	P1	3
420505199107127334	P4	0
420505199107127414	P3	2
420505199107127414	P4	4
420505199107127414	P11	7
420505199107129532	P2	5
420505199107129532	P9	2
420505199107126550	P3	4
420505199107126550	P10	6
420505199107127393	P7	6
420505199107127393	P9	1
420505199107128097	P7	3
420505199107128353	P7	3
420505199107128353	P11	7
420505199107128353	P10	1
420505199107128353	P3	6
420505199107128513	P9	6
420505199107128513	P10	0
420505199107128513	P8	5
420505199107128513	P9	4
420505199107127772	P6	5
310105199107127898	P3	6
310105199107127898	P4	5
310105199107127898	P10	3
310105199107126377	P10	0
310105199107126377	P8	1
310105199107126377	P3	1
310105199107128372	P11	2
310105199107128372	P2	1
310105199107128372	P4	5
310105199107128372	P10	5
310105199107127732	P3	4
310105199107127732	P4	6
310105199107127732	P1	6
310105199107127599	P4	3
310105199107126756	P6	3
310105199107129279	P3	3
310105199107129279	P1	2
310105199107126510	P2	2
310105199107126510	P6	1
310105199107126510	P1	0
310105199107129914	P10	2
310105199107129914	P7	5
310105199107129914	P3	3
310105199107126537	P7	2
310105199107126537	P6	5
310105199107126537	P2	7
310105199107126537	P10	5
310105199107129439	P3	3
310105199107129439	P3	0
310105199107129439	P7	0
310105199107126131	P10	4
310105199107126131	P9	1
310105199107126115	P11	6
310105199107126115	P5	6
450302198712186632	P7	0
450302198712186632	P7	4
450302198712188734	P5	2
450302198712188734	P6	4
450302198712187870	P6	3
450302198712187870	P6	7
450302198712188013	P8	4
450302198712188013	P1	7
450302198712188195	P3	0
450302198712188195	P11	7
450302198712188195	P4	7
450302198712187539	P9	5
450302198712187539	P4	4
450302198712187539	P6	2
45030219871218889X	P8	4
45030219871218889X	P4	1
45030219871218889X	P2	7
45030219871218889X	P11	1
450302198712187539	P6	1
450302198712187539	P10	1
450302198712187539	P6	6
450302198712186712	P7	2
450302198712189673	P8	6
450302198712189673	P5	2
450302198712189032	P7	0
450302198712189032	P4	4
450302198712189032	P2	6
450302198712188873	P6	0
450302198712188873	P9	0
450302198712188873	P2	3
450302198712188558	P6	0
450302198712188558	P8	7
450302198712188558	P7	3
410303198712188530	P9	0
410303198712188530	P4	3
410303198712188530	P10	5
410303198712188530	P6	2
410303198712188477	P10	4
410303198712188477	P11	4
410303198712187917	P10	4
410303198712187415	P4	4
410303198712187650	P4	0
410303198712187650	P6	4
410303198712187650	P4	2
410303198712187650	P1	6
410303198712189672	P11	4
410303198712189672	P9	6
410303198712189672	P6	4
410303198712189170	P6	0
410303198712189170	P10	0
410303198712189170	P5	4
410303198712188899	P2	4
410303198712188899	P3	7
410303198712188899	P9	4
410303198712188274	P11	3
410303198712188274	P5	2
410303198712187634	P2	3
410303198712187634	P4	7
410303198712187634	P5	6
410303198712187634	P2	0
41030319871218605X	P11	4
41030319871218605X	P11	4
41030319871218605X	P9	6
41030319871218605X	P4	3
41030319871218779X	P9	6
41030319871218779X	P5	7
41030319871218779X	P5	5
41030319871218779X	P10	0
410303198712186359	P9	2
