彭龙全	513436200003186558	红领巾街02-2号	7449	450302198712187870	1
倪山	513436200003187059	哈尔滨市道里区抚利街与抚顺街交会处	6125	450302198712186712	3
周世华	513436200003188211	黑龙江省哈尔滨市道里区安阳路1号	3779	410303198712189672	9
王仪叶	513436200003189150	红领巾街02-2号	10668	42050519910712845X	4
于凝刚	513436200003189273	黑龙江省哈尔滨市道里区安阳路1号	8085	350205199507128921	2
太叔玛	51343620000318945X	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	5258	513436200003189492	6
长孙韦	513436200003188393	南岗区北京街100号	10884	350205199507127769	1
裘世	513436200003189492	红领巾街02-2号	9363	513436200003188211	6
封明	513436200003188297	哈尔滨市南岗区松花江街139号	9255	450302198712188013	6
何强辉	513436200003188676	哈尔滨市南岗区学府三道街27号	3290	450302198712186712	1
阙亚	513436200003189353	哈尔滨市道里区河松街219号	4937	230103199507129726	2
霍紫瑾	513436200003186996	哈尔滨市道里区河松街219号	9266	310105199107126115	1
宗勤	513436200003188916	哈尔滨市道里区河松街219号	1721	45030219871218889X	2
关琴	230103199507126541	黑龙江省哈尔滨市道里区安阳路1号	10506	350205199507129844	9
齐娟	230103199507129080	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	10635	420505199107127414	4
马豪	230103199507128803	哈尔滨市道里区抚利街与抚顺街交会处	5442	230103199507129785	9
丁江毓	230103199507129347	哈尔滨市道里区抚利街与抚顺街交会处	10182	513436200003186558	1
柏蝶平	230103199507126568	黑龙江省哈尔滨市道里区安阳路1号	1612	420505199107128353	6
溥羽娴	230103199507129726	大民兴街9号	4469	450302198712187539	7
桑桂	230103199507128483	南岗区北京街100号	9680	350205199507127769	9
裘启竹	230103199507129785	红领巾街02-2号	10810	410303198712189170	1
姜策春	23010319950712882X	大民兴街9号	1262	310105199107127599	1
石程	230103199507127560	黑龙江省哈尔滨市道里区安阳路1号	8327	310105199107129279	9
习贝	230103199507129427	大民兴街9号	10437	513436200003189492	4
裴纯晶	230103199507128360	黑龙江省哈尔滨市道里区安阳路1号	1374	310105199107129914	2
叶中晶	230103199507128205	哈尔滨市南岗区学府三道街27号	1683	450302198712186632	5
耿伊	35020519950712754X	哈尔滨市道里区河松街219号	5854	350205199507127769	2
赫连友	350205199507127507	哈尔滨市道里区河松街219号	4155	450302198712188013	2
庾政	350205199507129844	哈尔滨市道里区河松街219号	6872	350205199507128104	9
云学彩	350205199507127769	黑龙江省哈尔滨市道里区安阳路1号	1554	310105199107126131	9
庄红永	350205199507129043	哈尔滨市道里区抚利街与抚顺街交会处	6634	230103199507129785	9
荀露	350205199507128729	哈尔滨市道里区河松街219号	9989	420505199107129532	1
